Binomial,Family,Genus,tiplabel,Adult_habitat,Life_history,Sex_dichromatism,SVL,mass,rootmass,eyesize
Leptodactylus_bolivianus,Leptodactylidae,Leptodactylus,Leptodactylus_bolivianus_Leptodactylidae,Ground-dwelling,Free-living larvae,Absent,83.93333333,41.73333333,3.443458361,8.866666667
Leptodactylus_melanonotus,Leptodactylidae,Leptodactylus,Leptodactylus_melanonotus_Leptodactylidae,Ground-dwelling,Free-living larvae,Absent,33.8,3.3,1.488704249,3.933333333
Lithodytes_lineatus,Leptodactylidae,Lithodytes,Lithodytes_lineatus_Leptodactylidae,Subfossorial,Free-living larvae,NA,46.2,7.6,1.966095145,5.6
Physalaemus_cuvieri,Leptodactylidae,Physalaemus,Physalaemus_cuvieri_Leptodactylidae,Ground-dwelling,NA,Absent,26.5,2.166666667,1.292858191,3.5
Pleurodema_thaul,Leptodactylidae,Pleurodema,Pleurodema_thaul_Leptodactylidae,Ground-dwelling,Free-living larvae,Present,40.23333333,6.733333333,1.886586015,5.216666667
Limnodynastes_salmini,Limnodynastidae,Limnodynastes,Limnodynastes_salmini_Myobatrachidae,Subfossorial,Free-living larvae,Absent,61.76666667,24.33333333,2.888505701,7.4
Aglyptodactylus_madagascariensis,Mantellidae,Aglyptodactylus,Aglyptodactylus_madagascariensis_Mantellidae,Subfossorial,Free-living larvae,Present,42.63333333,8.633333333,1.991779489,6.166666667
Mantella_aurantiaca,Mantellidae,Mantella,Mantella_aurantiaca_Mantellidae,Ground-dwelling,Free-living larvae,Absent,21.65,1.15,1.047469342,2.6
Leptobrachella_dringi,Megophryidae,Leptobrachella,Leptobrachella_dringi_Megophryidae,Ground-dwelling,Free-living larvae,NA,42.3,4.333333333,1.620733821,6.116666667
Leptobrachium_chapaense,Megophryidae,Leptobrachium,Leptobrachium_chapaense_Megophryidae,Ground-dwelling,Free-living larvae,Absent,54.66666667,13,2.306363941,7.9
Megophrys_brachykolos,Megophryidae,Megophrys,Megophrys_brachykolos_Megophryidae,Semiaquatic,Free-living larvae,NA,40.73333333,4.666666667,1.669117649,5.666666667
Megophrys_feae,Megophryidae,Megophrys,Megophrys_feae_Megophryidae,Subfossorial,Free-living larvae,Absent,114.6,106.3333333,4.733289983,11.16666667
Megophrys_gerti,Megophryidae,Megophrys,Megophrys_gerti_Megophryidae,Ground-dwelling,Free-living larvae,NA,32.3,3,1.44224957,4.2
Megophrys_intermedia,Megophryidae,Megophrys,Megophrys_intermedia_Megophryidae,Ground-dwelling,Free-living larvae,NA,102.1,84,4.37951914,10.9
Megophrys_microstoma,Megophryidae,Megophrys,Megophrys_microstoma_Megophryidae,Ground-dwelling,Free-living larvae,Absent,35.5,3,1.44224957,4.866666667
Megophrys_nasuta,Megophryidae,Megophrys,Megophrys_nasuta_Megophryidae,Ground-dwelling,Free-living larvae,Absent,101,82.25,4.20222952,12.3
Scutiger_boulengeri,Megophryidae,Scutiger,Scutiger_boulengeri_Megophryidae,Ground-dwelling,Free-living larvae,NA,54.2,13,2.347175618,6.85
Micrixalus_phyllophilus,Micrixalidae,Micrixalus,Micrixalus_phyllophilus_Micrixalidae,Subfossorial,NA,NA,32.55,4.45,1.643692998,3.95
Anodonthyla_boulengerii,Microhylidae,Anodonthyla,Anodonthyla_boulengerii_Microhylidae,Scansorial,Free-living larvae,Absent,19,0.4,0.7368063,2.3
Chaperina_fusca,Microhylidae,Chaperina,Chaperina_fusca_Microhylidae,Ground-dwelling,Free-living larvae,Absent,22.83333333,1.8,1.213911269,3.05
Chiasmocleis_albopunctata,Microhylidae,Chiasmocleis,Chiasmocleis_albopunctata_Microhylidae,Subfossorial,NA,Absent,27.8,1.9,1.21943627,2.2
Cophixalus_cheesmanae,Microhylidae,Cophixalus,Cophixalus_cheesmanae_Microhylidae,Scansorial,NA,NA,26.7,2.3,1.317663049,3.7
Cophixalus_neglectus,Microhylidae,Cophixalus,Cophixalus_neglectus_Microhylidae,Subfossorial,No free-living larvae,Absent,20.93333333,1.466666667,1.121083339,3
Cophyla_tuberifera,Microhylidae,Cophyla,Platypelis_tuberifera_Microhylidae,Scansorial,Free-living larvae,NA,34.7,3.266666667,1.47624573,4.8
Ctenophryne_aterrima,Microhylidae,Ctenophryne,Ctenophryne_aterrima_Microhylidae,Subfossorial,Free-living larvae,Absent,46.25,10.4,2.1684609,3.95
