Species,Ecomorph,Diet,ReproductiveMode,HeadLength,HeadWidth,HeadHeight,EyeDistance,TotalLength
Storeria_dekayi,Burrowing,mollusc,Viviparous,7.82,3.93,2.75,3.1,33
Storeria_hidalgoensis,Burrowing,mollusc,Viviparous,9.49,5.2,3.07,3.52,NA
Storeria_occipitomaculata,Burrowing,mollusc,Viviparous,9.44,5.15,3.76,3.39,47
Storeria_storerioides,Burrowing,mollusc,Viviparous,8.88,4.74,3.25,3.34,55
Thamnophis_rufipunctatus_unilabialis,Aquatic,aquatic generalist,Viviparous,16.93,6.85,5.34,4.27,90
Thamnophis_atratus,Semiaquatic,aquatic generalist,Viviparous,21.595,11.06,7.5,6.22,142
Thamnophis_bogerti,Semiaquatic,generalist,Viviparous,17.74,8.35,5.7,5.14,100
Thamnophis_brachystoma,Terrestrial,annelids,Viviparous,12.74,6.32,4.46,4.2,NA
Thamnophis_butleri,Semiaquatic,generalist,Viviparous,16.72,8.54,5.97,4.95,95
Thamnophis_chrysocephalus,Semiaquatic,unknown,Viviparous,23.55,12.51,8.46,7.24,NA
Thamnophis_conanti,Semiaquatic,unknown,Viviparous,19.97,9.24,6.41,6.05,116
Thamnophis_couchii,Aquatic,unknown,Viviparous,18.13,9.18,6.71,5.75,146
Thamnophis_cyrtopsis,Semiaquatic,generalist,Viviparous,18.185,8.92,6.87,5.37,138
Thamnophis_elegans,Semiaquatic,generalist,Viviparous,22.66,11.98,8.29,7.46,169
Thamnophis_elegans_lineolata,Semiaquatic,generalist,Viviparous,17,8.18,6.58,5.73,160
Thamnophis_eques,Semiaquatic,anurans,Viviparous,27.215,13.54,9.48,6.95,162
Thamnophis_errans,Terrestrial,unknown,Viviparous,20.51,9.08,7.06,6.64,143
Thamnophis_exsul,Terrestrial,unknown,Viviparous,16.17,7.85,5.36,5.52,100
Thamnophis_fulvus,Semiaquatic,anurans,Viviparous,32.865,15.97,13.59,9.82,194
Thamnophis_godmani,Semiaquatic,unknown,Viviparous,25.54,13.78,8.5,7.61,160
Thamnophis_hammondii,Semiaquatic,aquatic generalist,Viviparous,19.32,7.53,6.46,5.97,105
Thamnophis_lineri,Semiaquatic,unknown,Viviparous,19.38,10.35,7.31,5.53,95
Thamnophis_marcianus,Semiaquatic,generalist,Viviparous,31.26,16.75,10.12,8.77,193
Thamnophis_melanogaster,Semiaquatic,generalist,Viviparous,20.515,10.63,6.68,5.41,110
Thamnophis_proximus,Semiaquatic,aquatic generalist,Viviparous,20.28,10.02,6.5,5.75,NA
Thamnophis_pulchrilatus,Semiaquatic,unknown,Viviparous,22.12,11.26,7.53,6.83,157
Thamnophis_radix,Semiaquatic,generalist,Viviparous,26.27,14.26,10.94,8.64,170
Thamnophis_rossmani,Aquatic,fish,Viviparous,28.75,15.36,10.15,7.95,160
Thamnophis_rufipunctatus,Aquatic,aquatic generalist,Viviparous,21.29,8.83,7.12,4.83,131
Thamnophis_sauritus,Semiaquatic,generalist,Viviparous,14.74,6.78,5.21,5.04,207
Thamnophis_scalaris_2,Terrestrial,generalist,Viviparous,16.36,8.16,5.27,4.82,128
Thamnophis_scaliger_1,Terrestrial,generalist,Viviparous,19.52,9.61,7.63,6.81,NA
Thamnophis_sirtalis,Semiaquatic,generalist,Viviparous,24.61,13.64,9.51,7.59,NA
Thamnophis_sumichrasti,Aquatic,generalist,Viviparous,26.25,14.57,8.73,7.72,211
Thamnophis_validus,Aquatic,aquatic generalist,Viviparous,22.13,12.14,8.62,5.98,143
Trachischium_fuscum,Burrowing,annelids,Oviparous,12.57,7.05,4.64,3.66,63
Trachischium_guentheri,Burrowing,annelids,Oviparous,10.97,6.18,4.53,3.24,49
Trachischium_laeve,Burrowing,annelids,Oviparous,9.47,5.32,4.22,3.51,40
Trachischium_monticola_1,Burrowing,annelids,Oviparous,8.22,4.66,3.49,3.12,39
Trachischium_susantai,Burrowing,annelids,Oviparous,11.01,5.04,4.22,3.03,35
Trachischium_tenuiceps,Burrowing,annelids,Oviparous,8.76,4.93,3.81,2.79,34
Trimerodytes_aequifasciata,Aquatic,aquatic generalist,Oviparous,25.06,12.89,7.59,7.43,164
Trimerodytes_annularis,Aquatic,aquatic generalist,Viviparous,23.625,10.46,9.53,6.55,138
Trimerodytes_balteata,Aquatic Burrowing,fish,Oviparous,28.735,16.02,11.91,8.8,160
Trimerodytes_percarinata,Aquatic,aquatic generalist,Oviparous,25.57,13.16,9.74,8.26,NA
Tropidoclonion_lineatum,Burrowing,annelids,Oviparous,9.83,5.42,3.67,3.08,34
Tropidonophis_elongatus,Terrestrial,anurans,Oviparous,17.965,8.55,3.25,5.87,186
Tropidonophis_novaeguinea,Terrestrial,unknown,Oviparous,23.275,13.79,9.34,7.89,120
Tropidonophis_aenigmaticus,Terrestrial,unknown,Viviparous,21.13,10.52,7.11,6.19,NA
Tropidonophis_celebicus,Terrestrial,unknown,Oviparous,18.76,7.6,6.58,4.52,164
Tropidonophis_dolasii,Terrestrial,unknown,Oviparous,33.58,18.18,10.52,9.63,NA
Tropidonophis_doriae,Terrestrial,unknown,Oviparous,27.305,12.47,9.21,8.03,NA
Tropidonophis_halmahericus,Terrestrial,anurans,Oviparous,20.545,9.74,6.81,7.48,240
Tropidonophis_hypomelas,Terrestrial,unknown,Oviparous,24.275,13.14,9.34,8.68,194
Tropidonophis_mairii_brongersmai,Terrestrial,anurans,Oviparous,22.07,11.27,6.61,6,150
Tropidonophis_mairii_mairii,Terrestrial,anurans,Oviparous,22.715,12.18,7.92,6.78,164
Tropidonophis_mcdowelli,Terrestrial,unknown,Oviparous,19.53,8.3,5.92,5.82,NA
Tropidonophis_multiscutellatus_3,Terrestrial,anurans,Oviparous,19.36,8.67,7.3,6.29,NA
Tropidonophis_parkeri,Terrestrial,unknown,Oviparous,18.29,8.55,6.34,6.19,184
