genus_species,Order,Family,Genus,Species,tiplabel,SVL_mm,Mass_g,rootmass,ED_right_mm,ED_left_mm,eyemean,CD_right_mm,CD_left_mm,cormean,Adult_habitat,Activity_period,Mating_habitat,Life_history,Larval_habitat,Sex_dichromatism
Amolops_ricketti,Anura,Ranidae,Amolops,ricketti,Amolops_ricketti_Ranidae,52.4,11.3,2.244017027,6.9,7,6.95,5.2,5.2,5.2,Semiaquatic,Both,Lotic water,Free-living larvae,Lotic water,Absent
Amolops_ricketti,Anura,Ranidae,Amolops,ricketti,Amolops_ricketti_Ranidae,54.5,14.7,2.449659817,7.9,8.1,8,6.3,6.4,6.35,Semiaquatic,Both,Lotic water,Free-living larvae,Lotic water,Absent
Anaxyrus_cognatus,Anura,Bufonidae,Anaxyrus,cognatus,Anaxyrus_cognatus_Bufonidae,51.5,20.9,2.754537962,8.4,7.7,8.05,6,5.3,5.65,Ground-dwelling,Nocturnal,Lentic water,Free-living larvae,Lentic water,Absent
Anaxyrus_cognatus,Anura,Bufonidae,Anaxyrus,cognatus,Anaxyrus_cognatus_Bufonidae,52.8,19.7,2.700777097,7.7,7.7,7.7,5.2,4.9,5.05,Ground-dwelling,Nocturnal,Lentic water,Free-living larvae,Lentic water,Absent
Anaxyrus_cognatus,Anura,Bufonidae,Anaxyrus,cognatus,Anaxyrus_cognatus_Bufonidae,56,28.8,3.06523773,8.8,8.4,8.6,5.2,5.5,5.35,Ground-dwelling,Nocturnal,Lentic water,Free-living larvae,Lentic water,Absent
Anaxyrus_punctatus,Anura,Bufonidae,Anaxyrus,punctatus,Anaxyrus_punctatus_Bufonidae,50.9,16.7,2.55606655,7.1,6.9,7,5.3,5.6,5.45,Ground-dwelling,Nocturnal,Lentic water,Free-living larvae,Lentic water,Absent
Anaxyrus_punctatus,Anura,Bufonidae,Anaxyrus,punctatus,Anaxyrus_punctatus_Bufonidae,49,8.6,2.048799615,5.6,5.3,5.45,4.1,4.3,4.2,Ground-dwelling,Nocturnal,Lentic water,Free-living larvae,Lentic water,Absent
Anaxyrus_punctatus,Anura,Bufonidae,Anaxyrus,punctatus,Anaxyrus_punctatus_Bufonidae,48.2,8.2,2.016529675,6.1,5.5,5.8,4.3,4.4,4.35,Ground-dwelling,Nocturnal,Lentic water,Free-living larvae,Lentic water,Absent
Anodonthyla_boulengerii,Anura,Microhylidae,Anodonthyla,boulengerii,Anodonthyla_boulengerii_Microhylidae,19,0.4,0.7368063,2.4,2.2,2.3,NA,NA,NA,Scansorial,Nocturnal,Plants,Free-living larvae,Lotic water,Absent
Aplastodiscus_albofrenatus,Anura,Hylidae,Aplastodiscus,albofrenatus,Aplastodiscus_albofrenatus_Hylidae,38.4,2.6,1.375068867,5.6,5.7,5.65,3.8,3.8,3.8,Scansorial,NA,NA,NA,NA,NA
Aplastodiscus_albofrenatus,Anura,Hylidae,Aplastodiscus,albofrenatus,Aplastodiscus_albofrenatus_Hylidae,37.8,2.6,1.375068867,5.4,4.9,5.15,3.5,3.7,3.6,Scansorial,NA,NA,NA,NA,NA
Arthroleptis_poecilonotus,Anura,Arthroleptidae,Arthroleptis,poecilonotus,Arthroleptis_poecilonotus_Arthroleptidae,27.1,2.6,1.375068867,4,3.8,3.9,2.9,3.2,3.05,Subfossorial,Both,Plants,No free-living larvae,No larvae,Absent
Arthroleptis_poecilonotus,Anura,Arthroleptidae,Arthroleptis,poecilonotus,Arthroleptis_poecilonotus_Arthroleptidae,26.9,2.5,1.357208808,3.9,3.1,3.5,3.7,3.3,3.5,Subfossorial,Both,Plants,No free-living larvae,No larvae,Absent
Arthroleptis_poecilonotus,Anura,Arthroleptidae,Arthroleptis,poecilonotus,Arthroleptis_poecilonotus_Arthroleptidae,27.1,2.3,1.320006122,4.1,3.8,3.95,3.2,3.1,3.15,Subfossorial,Both,Plants,No free-living larvae,No larvae,Absent
Arthroleptis_variabilis,Anura,Arthroleptidae,Arthroleptis,variabilis,Arthroleptis_variabilis_Arthroleptidae,35.8,4.6,1.663103499,4.7,4.7,4.7,4.3,4,4.15,Subfossorial,NA,Ground,No free-living larvae,No larvae,Absent
Arthroleptis_variabilis,Anura,Arthroleptidae,Arthroleptis,variabilis,Arthroleptis_variabilis_Arthroleptidae,39.1,5.4,1.754410643,5.3,4.4,4.85,5.3,4.4,4.85,Subfossorial,NA,Ground,No free-living larvae,No larvae,Absent
